Team,Season,Stage,HomeOrAway,home_team_goal,away_team_goal,Result
1. FC Kaiserslautern,2010/2011,1,Away,2,3,W
1. FC Kaiserslautern,2010/2011,2,Home,2,1,W
1. FC Kaiserslautern,2010/2011,3,Away,2,1,L
1. FC Kaiserslautern,2010/2011,4,Home,1,0,W
1. FC Kaiserslautern,2010/2011,5,Away,3,1,L
1. FC Kaiserslautern,2010/2011,6,Home,1,1,T
1. FC Kaiserslautern,2010/2011,7,Away,0,3,W
1. FC Kaiserslautern,2010/2011,8,Home,2,3,L
1. FC Kaiserslautern,2010/2011,9,Away,2,0,L
1. FC Kaiserslautern,2010/2011,10,Home,1,0,W
1. FC Kaiserslautern,2010/2011,11,Away,1,2,W
1. FC Kaiserslautern,2010/2011,12,Home,0,0,T
1. FC Kaiserslautern,2010/2011,13,Away,1,3,W
1. FC Kaiserslautern,2010/2011,14,Home,1,1,T
1. FC Kaiserslautern,2010/2011,15,Away,1,4,W
1. FC Kaiserslautern,2010/2011,16,Home,2,0,W
1. FC Kaiserslautern,2010/2011,17,Away,1,2,W
1. FC Kaiserslautern,2010/2011,18,Home,1,0,W
1. FC Kaiserslautern,2010/2011,19,Away,0,2,W
1. FC Kaiserslautern,2010/2011,20,Home,3,0,W
1. FC Kaiserslautern,2010/2011,21,Away,2,5,W
1. FC Kaiserslautern,2010/2011,22,Home,2,1,W
1. FC Kaiserslautern,2010/2011,23,Away,3,0,L
1. FC Kaiserslautern,2010/2011,24,Home,1,2,L
1. FC Kaiserslautern,2010/2011,25,Away,0,1,W
1. FC Kaiserslautern,2010/2011,26,Home,4,2,W
1. FC Kaiserslautern,2010/2011,27,Away,2,0,L
1. FC Kaiserslautern,2010/2011,28,Home,0,0,T
1. FC Kaiserslautern,2010/2011,29,Away,2,4,W
1. FC Kaiserslautern,2010/2011,30,Home,2,4,L
1. FC Kaiserslautern,2010/2011,31,Away,2,2,T
1. FC Kaiserslautern,2010/2011,32,Home,1,2,L
1. FC Kaiserslautern,2010/2011,33,Away,4,1,L
1. FC Kaiserslautern,2010/2011,34,Home,1,0,W
1. FC Kaiserslautern,2011/2012,1,Away,2,0,L
1. FC Kaiserslautern,2011/2012,2,Home,0,0,T
1. FC Kaiserslautern,2011/2012,3,Away,2,0,L
1. FC Kaiserslautern,2011/2012,4,Home,2,1,W
1. FC Kaiserslautern,2011/2012,5,Away,2,2,T
1. FC Kaiserslautern,2011/2012,6,Home,4,0,W
1. FC Kaiserslautern,2011/2012,7,Away,4,1,L
1. FC Kaiserslautern,2011/2012,8,Home,1,1,T
1. FC Kaiserslautern,2011/2012,9,Away,4,1,L
1. FC Kaiserslautern,2011/2012,10,Home,0,0,T
1. FC Kaiserslautern,2011/2012,11,Away,1,1,T
1. FC Kaiserslautern,2011/2012,12,Away,4,0,L
1. FC Kaiserslautern,2011/2012,13,Home,2,0,W
1. FC Kaiserslautern,2011/2012,14,Away,1,1,T
1. FC Kaiserslautern,2011/2012,15,Home,2,1,W
1. FC Kaiserslautern,2011/2012,16,Away,2,1,L
1. FC Kaiserslautern,2011/2012,17,Home,1,0,W
1. FC Kaiserslautern,2011/2012,18,Home,2,2,T
1. FC Kaiserslautern,2011/2012,19,Away,2,0,L
1. FC Kaiserslautern,2011/2012,20,Home,2,2,T
1. FC Kaiserslautern,2011/2012,21,Away,1,3,W
1. FC Kaiserslautern,2011/2012,22,Home,1,1,T
1. FC Kaiserslautern,2011/2012,23,Away,1,1,T
1. FC Kaiserslautern,2011/2012,24,Home,3,3,T
1. FC Kaiserslautern,2011/2012,25,Away,0,0,T
1. FC Kaiserslautern,2011/2012,26,Home,5,0,W
1. FC Kaiserslautern,2011/2012,27,Away,2,0,L
1. FC Kaiserslautern,2011/2012,28,Home,1,1,T
1. FC Kaiserslautern,2011/2012,29,Home,4,1,W
1. FC Kaiserslautern,2011/2012,30,Away,1,1,T
1. FC Kaiserslautern,2011/2012,31,Home,1,0,W
1. FC Kaiserslautern,2011/2012,32,Away,0,2,W
1. FC Kaiserslautern,2011/2012,33,Home,1,1,T
1. FC Kaiserslautern,2011/2012,34,Away,2,2,T
1. FC Köln,2008/2009,1,Away,2,0,L
1. FC Köln,2008/2009,2,Home,2,1,W
1. FC Köln,2008/2009,3,Away,1,0,L
1. FC Köln,2008/2009,4,Home,1,0,W
1. FC Köln,2008/2009,5,Away,1,0,L
1. FC Köln,2008/2009,6,Home,1,2,L
1. FC Köln,2008/2009,7,Away,2,1,L
1. FC Köln,2008/2009,8,Home,0,2,L
1. FC Köln,2008/2009,9,Away,5,2,L
1. FC Köln,2008/2009,10,Home,2,2,T
1. FC Köln,2008/2009,11,Away,4,1,L
1. FC Köln,2008/2009,12,Home,6,0,W
1. FC Köln,2008/2009,13,Away,0,1,W
1. FC Köln,2008/2009,14,Home,2,2,T
1. FC Köln,2008/2009,15,Away,3,2,L
1. FC Köln,2008/2009,16,Home,4,0,W
1. FC Köln,2008/2009,17,Away,1,0,L
1. FC Köln,2008/2009,18,Home,0,2,L
1. FC Köln,2008/2009,19,Away,4,0,L
1. FC Köln,2008/2009,20,Home,0,0,T
1. FC Köln,2008/2009,21,Away,1,0,L
1. FC Köln,2008/2009,22,Home,1,1,T
1. FC Köln,2008/2009,23,Away,1,4,W
1. FC Köln,2008/2009,24,Home,3,1,W
1. FC Köln,2008/2009,25,Away,1,0,L
1. FC Köln,2008/2009,26,Home,1,2,L
1. FC Köln,2008/2009,27,Away,1,0,L
1. FC Köln,2008/2009,28,Home,2,0,W
1. FC Köln,2008/2009,29,Away,3,1,L
1. FC Köln,2008/2009,30,Home,1,1,T
1. FC Köln,2008/2009,31,Away,5,1,L
1. FC Köln,2008/2009,32,Home,4,1,W
1. FC Köln,2008/2009,33,Away,2,0,L
1. FC Köln,2008/2009,34,Home,1,2,L
1. FC Köln,2009/2010,1,Away,2,1,L
1. FC Köln,2009/2010,2,Home,1,2,L
